Rk,Player,age,WS,salary,projSalary,playerTeam
43,Jordan Bell,27,0,26000000.00,27300000.00,Chicago Bulls
44,DeAndre' Bembry,27,2.2,24830357.00,26669643.00,TOT
45,Dāvis Bertāns,29,0.9,24026712.00,25806469.00,TOT
46,Patrick Beverley,33,4.1,24000000.00,22000000.00,Minnesota Timberwolves
47,Saddiq Bey,22,4,23000000.00,23500000.00,Detroit Pistons
48,Khem Birch,29,2.6,22477273.00,20522727.00,Toronto Raptors
49,Goga Bitadze,22,1.9,21700000.00,22600000.00,Indiana Pacers
50,Bismack Biyombo,29,1.8,21306816.00,19602273.00,Phoenix Suns
51,Nemanja Bjelica,33,3,21000000.00,22680000.00,Golden State Warriors
52,Eric Bledsoe,32,1.3,20482143.00,,Los Angeles Clippers
53,Keljin Blevins,26,-0.5,20475000.00,21450000.00,Portland Trail Blazers
54,Bogdan Bogdanović,29,3.7,20284091.00,18352273.00,Atlanta Hawks
55,Bojan Bogdanović,32,5.2,20000000.00,20000000.00,Utah Jazz
56,Bol Bol,22,0.1,20000000.00,20952381.00,Denver Nuggets
57,Leandro Bolmaro,21,0,19800000.00,23760000.00,Minnesota Timberwolves
58,Isaac Bonga,22,0.1,19675926.00,21250000.00,Toronto Raptors
59,Devin Booker,25,7.6,19500000.00,,Phoenix Suns
60,Brandon Boston Jr.,20,0.4,20168742.00,,Los Angeles Clippers
61,Chris Boucher,29,6,18700000.00,19550000.00,Toronto Raptors
62,James Bouknight,21,0,18604651.00,19534884.00,Charlotte Hornets
63,Avery Bradley,31,1.2,18562500.00,19937500.00,Los Angeles Lakers
